0.050000	0.011265	0.008858	0.017848	0.018073	0.463706	0.480250
0.150000	0.014518	0.011431	0.022321	0.022588	0.457406	0.471735
0.250000	0.019898	0.015724	0.028588	0.028881	0.447443	0.459466
0.350000	0.028441	0.022575	0.037809	0.038122	0.432087	0.440965
0.450000	0.040837	0.032607	0.049228	0.049503	0.411058	0.416766
0.550000	0.049669	0.039881	0.055727	0.055920	0.397285	0.401518
0.650000	0.062083	0.050158	0.064427	0.064487	0.378257	0.380588
0.750000	0.075951	0.061788	0.072979	0.072847	0.357883	0.358552
0.850000	0.084224	0.068836	0.077531	0.077254	0.346129	0.346027
0.950000	0.094737	0.077822	0.083240	0.082769	0.331233	0.330199
1.050000	0.105183	0.086820	0.088720	0.088030	0.316543	0.314704
1.150000	0.110988	0.091832	0.091811	0.090980	0.308308	0.306080
1.250000	0.117923	0.097803	0.095583	0.094576	0.298398	0.295719
1.350000	0.124421	0.103355	0.099306	0.098117	0.288936	0.285865
1.450000	0.127920	0.106255	0.101577	0.100276	0.283620	0.280352
1.550000	0.131913	0.109508	0.104305	0.102871	0.277445	0.273957
1.650000	0.135499	0.112299	0.107073	0.105507	0.271650	0.267971
1.750000	0.137358	0.113576	0.108867	0.107222	0.268375	0.264602
1.850000	0.139379	0.114875	0.110990	0.109256	0.264687	0.260813
1.950000	0.141083	0.115765	0.113174	0.111357	0.261289	0.257332
2.050000	0.141870	0.115921	0.114646	0.112784	0.259385	0.255394
2.150000	0.142651	0.115930	0.116363	0.114451	0.257314	0.253291
2.250000	0.143188	0.115595	0.118135	0.116183	0.255470	0.251429
2.350000	0.143292	0.115015	0.119359	0.117392	0.254489	0.250453
2.450000	0.143310	0.114212	0.120764	0.118784	0.253477	0.249453
2.550000	0.143133	0.113122	0.122212	0.120229	0.252652	0.248653
2.650000	0.142806	0.112078	0.123228	0.121255	0.252300	0.248333
2.750000	0.142355	0.110785	0.124376	0.122421	0.251993	0.248070
2.849999	0.141745	0.109253	0.125551	0.123624	0.251846	0.247980
2.949999	0.141147	0.107932	0.126384	0.124490	0.251929	0.248117
3.049999	0.140413	0.106363	0.127311	0.125460	0.252099	0.248354
3.149999	0.139544	0.104592	0.128252	0.126455	0.252411	0.248746
3.249999	0.138778	0.103120	0.128921	0.127177	0.252799	0.249205
3.349999	0.137876	0.101414	0.129655	0.127973	0.253295	0.249787
3.449999	0.136856	0.099536	0.130391	0.128785	0.253920	0.250511
3.549999	0.135991	0.097997	0.130914	0.129376	0.254522	0.251200
3.649999	0.134993	0.096244	0.131477	0.130020	0.255243	0.252023
3.749999	0.133892	0.094344	0.132035	0.130670	0.256082	0.252977
3.849998	0.132970	0.092794	0.132427	0.131143	0.256836	0.253830
3.949998	0.131924	0.091052	0.132841	0.131651	0.257712	0.254821
4.049998	0.130786	0.089183	0.133242	0.132158	0.258696	0.255934
4.149998	0.129837	0.087658	0.133517	0.132524	0.259557	0.256906
4.249998	0.128773	0.085962	0.133800	0.132912	0.260539	0.258014
4.349998	0.127626	0.084157	0.134065	0.133293	0.261622	0.259236
4.449998	0.126670	0.082681	0.134236	0.133563	0.262557	0.260293
4.549998	0.125608	0.081053	0.134404	0.133844	0.263610	0.261482
4.649998	0.124471	0.079330	0.134551	0.134114	0.264756	0.262778
4.749998	0.123520	0.077915	0.134630	0.134299	0.265742	0.263893
4.849998	0.122472	0.076367	0.134699	0.134485	0.266840	0.265136
4.949997	0.121357	0.074737	0.134743	0.134657	0.268026	0.266480
5.049997	0.120420	0.073392	0.134741	0.134766	0.269045	0.267636
5.149997	0.119394	0.071929	0.134723	0.134870	0.270170	0.268914
5.249997	0.118308	0.070395	0.134678	0.134956	0.271377	0.270286
5.349997	0.117391	0.069123	0.134606	0.134997	0.272415	0.271468
5.449997	0.116393	0.067748	0.134512	0.135028	0.273554	0.272766
5.549997	0.115339	0.066310	0.134390	0.135040	0.274769	0.274152
5.649997	0.114446	0.065112	0.134256	0.135021	0.275816	0.275350
5.749997	0.113478	0.063823	0.134097	0.134987	0.276958	0.276657
5.849997	0.112459	0.062478	0.133910	0.134934	0.278171	0.278047
5.949996	0.111592	0.061352	0.133723	0.134862	0.279219	0.279252
